ID,Hour of Day,Package UUID,Is Audio Device Connected,Is Charging,Is Wifi Connected,Is Mobile Data Connected,Is Bluetooth Connected,Brightness
238,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,10
239,21,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,9
240,21,62c55e75-4172-4718-9e53-9cff1f90e0a6,false,false,true,false,true,9
241,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,9
242,21,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,9
243,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,9
244,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,7
245,21,8706a520-57f1-4159-877c-ffccead7bce3,false,false,true,false,true,7
246,22,b627002c-eb47-41d8-914b-92cddb12361e,false,false,true,false,true,7
247,22,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,7
248,22,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,7
249,22,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,7
250,22,b627002c-eb47-41d8-914b-92cddb12361e,false,false,true,false,true,18
251,22,6373b7d1-fb07-436b-8282-e731f7030080,false,false,true,false,true,18
252,22,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,15
253,22,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,11
254,22,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,true,false,true,11
255,22,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,15
256,22,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,15
257,22,221e1d01-4342-4423-9d8f-d0befcfc7dc1,false,false,true,false,true,15
258,22,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
259,22,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,4
260,22,b627002c-eb47-41d8-914b-92cddb12361e,false,false,true,false,true,15
261,22,5c53085f-58f4-4b98-8bf2-148fbf9f5ddb,false,false,true,false,true,15
262,22,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,21
263,22,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,15
264,22,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,15
265,22,0c42a5c7-56e4-4c92-bd63-d70b03778099,false,false,true,false,true,15
266,22,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
267,22,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,15
268,22,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,15
269,22,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,15
270,22,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,15
271,22,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,15
272,22,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,true,true,false,true,15
273,23,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,true,true,false,true,16
274,23,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,true,true,false,true,16
275,23,59cc5bb1-c336-41c0-9368-fda9aedfc19c,false,true,true,false,true,17
276,23,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,16
277,0,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,16
278,0,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,1
279,0,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,1
280,0,f98b369a-8f30-4c07-b5b2-af8d6edd3a74,false,false,true,false,true,1
281,0,0c42a5c7-56e4-4c92-bd63-d70b03778099,false,false,true,false,true,2
282,0,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,true,false,true,2
283,0,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,2
284,0,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,3
285,7,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,5
286,7,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,5
287,7,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,5
288,7,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,5
289,7,e75af745-220e-45d9-bba6-36e11698a406,false,false,true,false,true,16
290,7,51152f1b-0394-4568-a15a-6039e9af055b,false,false,true,false,true,15
291,7,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,16
292,7,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,16
293,7,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,16
294,7,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,true,false,true,16
295,7,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,true,false,true,16
296,7,11999532-8735-4203-a0a9-7af7d13ce6d5,false,false,true,false,true,16
297,7,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,16
298,7,b627002c-eb47-41d8-914b-92cddb12361e,false,false,true,false,true,16
299,7,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,11
300,7,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,true,false,true,11
301,8,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,17
302,8,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,true,true,false,true,17
303,8,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,true,true,false,true,16
304,8,4919ab0e-b962-481f-84ac-56fa1adde52d,false,true,true,false,true,16
305,8,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,true,true,false,true,16
306,8,4919ab0e-b962-481f-84ac-56fa1adde52d,false,true,true,false,true,16
307,8,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,true,true,false,true,16
308,8,87ef4dd6-b973-4be0-9612-34158bad7722,false,false,true,false,true,16
309,8,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,true,false,true,16
310,8,11999532-8735-4203-a0a9-7af7d13ce6d5,false,false,true,false,true,16
311,8,4919ab0e-b962-481f-84ac-56fa1adde52d,false,false,true,false,true,16
312,8,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,15
313,9,b627002c-eb47-41d8-914b-92cddb12361e,false,false,false,true,true,15
314,9,2f1e9eea-51dc-44a6-954b-6ea75d5a1fdd,false,false,false,true,true,12
315,9,7eeefa32-f548-4ff2-be56-ffac0daae06c,false,false,false,true,true,15
